,kod_pkd,opis,labels
89800,1105,"produkcja piwa, sprzedaż piwa, działalność pubowo-gastronomiczna i inne ściśle z nią powiązane.",29
110480,1413,"darmowa dostawa za zakupy powyżej 250 zł koszyk (0) +48 531 121 885 sklep@bamarnicol.pl pl / zł kolekcje chłopiec dziewczynka wyprzedaż komplety zapisz się do newslettera! bądź na bieżąco z naszymi promocjami. * wpisz swój e-mail dołącz * wyrażam zgodę na otrzymywanie newslettera od sklepu poprzez e-mail. * pole obowiązkowe nowość nowość sukienko-body dł.rękaw, dla dziewczynki, do chrztu, białe 56-86 57,99 zł nowość sukienka dł.rękaw dla dziewczynki, jasny beż 92-122 54,99 zł nowość sukienka dł.",46
84517,1013,produkcja i handel przetworami mięsnymi,2
9593,3012,produkcją łodzi wiosłowych dla rekreacji.,228
57663,3020,firma zajmuje się produkcją lokomotyw elektrycznych dla kolei dużych prędkości.,230
18521,2612,produkcją kart interfejsu rs-232.,181
97094,3299,"ręcznie robione maski teatralne do projektów/teatru/teledysków i tym podobnych, na zamówienie. sprzedaż wcześniej wyprodukowanych maseczek poprzez media społecznościowe itp.",251
74757,3100,"firma zajmuje się produkcją frontów (meblowych, do zabudowy).",238
47893,1626,firma zajmuje się tworzeniem granulek z biomasy roślinnej,68
85523,2011,produkcja i sprzedaż gazów oraz inna działalność z tym związana.,87
17012,2842,produkcją wiertarek stołowych.,213
93336,3011,"budowa i remonty statków, tankowców i innych jednostek oceanicznych, w tym przebudowa statków na konstrukcje offshore.",227
104918,1071,działalność cukiernicza i kursowa.,13
93962,3011,"własne lub poprzez udziały w innych spółkach w celu budowy i eksploatacji platform wiertniczych, innych jednostek offshore i wszystkiego, co z tym związane, a także inwestycje w innych spółkach offshore.",227
96209,2229,"sprzedaż importu folii, oprogramowania, działek ciętych dla branży szyldów i dekoracji.",113
49407,1724,firma zajmuje się produkcja tapet z papieru barwionego w masie,77
103742,3109,stolarka meblowa/budowa łodzi drewnianych.,242
8768,1330,barwieniem eko przyjaznymi barwnikami,35
46198,2226,produkcja plastikowych garnków turystycznych,112
32140,1072,firma zajmuje się produkcja sucharów bezglutenowych,14
107223,1071,piekarnia/handel detaliczny wypiekami.,13
45729,2593,firma zajmuje się produkcją taśm plecionych do zastosowań morskich.,177
108019,2562,"obróbka metali usługi i usługi naprawcze dla produkcji przemysłowej, firm mechanicznych, warsztatów i osób prywatnych",170
92771,1623,produkcja wyrobów z drewna i co z nią związane oraz nabywanie udziałów w innych spółkach w celach finansowych.,65
21202,2652,produkcją zegarków wodoodpornych.,186
1920,3100,produkcją sof i kanap.,238
96381,2540,produkcja materiałów technicznych do broni. produkcja części mechanicznych.,164
100487,1610,"ogród z produkcją mięsa owiec i bydła, pielęgnacja zieleni. mały tartak z odrobiną strzyżenia i piłowania przez najemcę materiałów przetartych z naszego własnego lasu.",60
109752,2829,"zgoda szczegóły o plikach cookies niniejsza strona korzysta z plików cookie wykorzystujemy pliki cookie do spersonalizowania treści i reklam, aby oferować funkcje społecznościowe i analizować ruch w naszej witrynie. informacje o tym, jak korzystasz z naszej witryny, udostępniamy partnerom społecznościowym, reklamowym i analitycznym. partnerzy mogą połączyć te informacje z innymi danymi otrzymanymi od ciebie lub uzyskanymi podczas korzystania z ich usług. spersonalizuj zezwól na wszystkie szukaj",210
33070,1089,firma zajmuje się produkcja albuminy jaja,22
39451,1310,firma zajmuje się czesaniem włókien konopnych,33
20400,1622,tworzeniem klepek parkietowych lakierowanych,64
13309,2830,produkcją maszyn do zrywki drewna.,211
99536,1020,"prowadzenie przyjmowania ryb, skup, sprzedaż i dalsze przetwarzanie ryb, przetworów rybnych i skorupiaków oraz inna działalność z tym związana. sprzedaż paliwa oraz sprzętu/narzędzi wędkarskich.",3
5403,1089,produkcja roślinnych substytutów jaj,22
106334,2562,"frezowanie i grawerowanie w drewnie, tworzywach sztucznych, szkle, aluminium i innych metalach.",170
75099,3316,firma zajmuje się naprawą łopat wirników śmigłowców (nie remontem fabrycznym).,257
59920,2060,firma zajmuje się wytwarzaniem włókien sztucznych polimerowych,101
20627,1622,produkcja desek parkietowych z drewna afrykańskiego,64
10784,1422,produkcja ekskluzywnych piżam,51
57137,2910,firma zajmuje się produkcją ciągników do naczep wieloosiowych.,223
5840,2551,lakierowaniem metali na mokro.,166
38996,1105,firma zajmuje się produkcja piwa craftowego ipa,29
30788,1012,firma zajmuje się wytwarzaniem jadalnych tłuszczów drobiowych,1
39317,1200,firma zajmuje się pakowaniem tabaki,32
14942,1085,produkcja gotowych posiłków w systemie map,20
14479,2364,produkcja nieogniotrwałego betonu prefabrykowanego suchego,134
57226,2920,firma zajmuje się produkcją nadwozi do karetek pogotowia.,224
78439,1020,inwestycje w nieruchomości i papiery wartościowe. podobnie jak możliwość uczestniczenia w innych zajęciach.,3
90290,1421,"szycie klienta, naprawa odzieży i przeszycie bielizny.",50
92183,1089,produkcja i sprzedaż żywności.,22
24381,1628,firma zajuje się produkcja drewnianych skrzynek na wino,70
101365,1419,szyjemy odzież funkcjonalną dla osób niepełnosprawnych.,48
56351,2841,firma zajmuje się produkcją obrabiarek do skrawania cermetali.,212
19943,2432,walcowaniem na zimno prętów stalowych o szerokości mniejszej niż 600 mm.,145
84113,1071,"prowadzimy piekarnio-cukiernię z produkcją i sprzedażą towarów we własnych placówkach oraz w gastronomii. spółka może uczestniczyć w innych spółkach poprzez inwestycje w akcje lub w inny sposób, jaki uzna za stosowny.",13
26285,1723,produkcja bloków rysunkowych i technicznych,76
60294,2211,firma zajmuje się regeneracją opon przemysłowych,104
96162,1419,"produkcja i sprzedaż skór i wyrobów skórzanych (torby, torebki, paski itp.)",48
26216,2562,"branża: inwestycje w nieruchomości | produkty: apartmenty inwestycyjne | usługi: zarządzanie nieruchomościami, wynajem mieszkań",170
29788,2391,firma zajmuje się wytwarzaniem materiałów ściernych na podłożu z papieru lub tektury technicznej.,140
45990,2611,firma zajmuje się produkcją kryształów do oscylatorów.,180
44910,2540,firma zajmuje się walcowaniem kształtowników metalowych.,164
18987,2399,wytwarzaniem włókien grafitowych dla przemysłu kosmicznego (nie elektrycznych).,141
87580,1071,"skip to content piekarnia sokół tradycyjny, domowy smak telefon 882 460 721 email zamowienia@piekarniasokol.pl adres ul. krzywa 12, siemiatycze zamówienia o nas dane kontaktowe cennik o nas home › o nas piekarnia „sokół’ jest firmą prowadzona rodzinnie. została założona w 1995r. zatrudniamy ok 20 osób. produkujemy pieczywo pszenne, żytnie i mieszane. proces produkcji oparty jest na tradycyjnej metodzie prowadzenia zakwasów i ręcznej obróbce. nie stosujemy środków konserwujących i polepszaczy. dz",13
92315,3230,produkcja tyczek i murów narciarskich.,247
25357,2910,fabryczną przebudową silników dla lekkich ciężarówek.,223
8297,1320,produkcja tkanin do imitacji skór futrzanych,34
11387,1511,wytwarzaniem irchy do galanterii,57
18122,3311,"branża: produkcja mebli | produkty: trumny, meble | usługi: brak",252
6149,1084,produkcja przypraw w postaci pasty,19
692,2331,produkcja ceramicznych płytek tarasowych,121
7507,3299,"produkcją datowników, pieczęci, numeratorów (ręcznych urządzeń do drukowania).",251
26414,1723,tworzeniem pustych kart pocztowych w dużych seriach,76
22804,1813,składem i fotoskładem książek do druku,82
20045,1814,działalnością usługową związaną z wysyłką materiałów poligraficznych,83
57441,3011,firma zajmuje się produkcją tratw nadmuchiwanych przeznaczonych na cele ratunkowe.,227
546,2226,produkcja plastikowych gąbek i czyścików,112
44322,2454,firma zajmuje się produkcją odlewów ze stopów ołowiu dla ekranów radiologicznych.,157
4361,2561,"branża: galwanizacja | produkty: powłoki galwaniczne, cięcie stali metodą cnc | usługi: usługi ślusarskie, transport",169
17279,1725,produkcja tulei papierowych do folii przemysłowych,78
4403,1083,produkcja mieszanek kaw różnych gatunków,18
68187,2341,firma zajmuje się produkcja ceramicznych naczyń rękodzielniczych,123
60708,2222,firma zajmuje się produkcja plastikowych toreb na pieczywo,108
9528,2562,produkcją okuć do sprzętu rtv/agd.,170
57239,2920,firma zajmuje się produkcją nadwozi do furgonów.,224
32587,1085,firma zajmuje się produkcja gotowych dań drobiowych pakowanych próżniowo,20
39523,1320,firma zajmuje się produkcja tkanin klasy premium,34
68080,2332,firma zajmuje się produkcja pustaków ceramicznych do ścian nośnych,122
10654,1422,produkcja koszul nocnych męskich,51
39112,1106,firma zajmuje się produkcja słodu specjalnego do stoutów,30
24039,2452,produkcją odlewów ze staliwa wysokostopowego do zbrojenia.,155
111406,1721,"branża: papierowa | produkty: worki papierowe, worki na śmieci, worki do pakowania cementu, worki do produkcji pasz i nasiona | usługi: produkcja przemysłowa",74
82230,1039,produkcja/dalsze przetwarzanie produktów z jagód/owoców/dżemów. działalność hurtowa (kupno/sprzedaż) jagód/owoców.,6
88714,3299,"produkcja, skup, sprzedaż wyrobów z drewna, tworzyw sztucznych, metalu itp., wynajem i inna działalność naturalnie mieszcząca się w tym zakresie.",251
96772,3109,"warsztat stolarski zajmujący się produkcją i sprzedażą mebli i wnętrz, a także skór dzików z własnego stada.",242
13808,1721,uni-pak elbląg - producent opakowań tekturowych zapraszamy na naszą stronę unipak.elblag.pl p p h u uni-pak jerzy kogutowicz ul. gdyńska 30 82-300 elbląg kontakt e-mail: biuro@unipak.elblag.pl telefon: 556483232 telefon: 552353507,74
182,2212,produkcja gumowych części wibracyjnych,105
39719,1391,firma zajmuje się produkcja dzianin metrażowych wełnianych,36
8366,2553,przeciąganiem wieloklinów.,168
30002,2390,firma zajmuje się produkcją ścierniwa dla przemysłu stoczniowego.,139
94392,1089,"produkcja i sprzedaż lokalnych surowców do sprzedaży żywności oraz tego, co naturalnie się w nie wlicza.",22
108296,1629,"zaloguj się listy zakupowe 0,00 zł luca® art & craft ramy na wymiar wydrukuj i opraw ramki i fotoramki galerie ścienne lustra passe partout akcesoria jesteś tutaj: strona główna o firmie o firmie małgorzata i krzysztof godlewscy luca® art & craft to pracownia ramiarska z ponad 40-letnią tradycją, założona i prowadzona przez małżeństwo – mistrza rzemiosł artystycznych krzysztofa godlewskiego i małgorzatę godlewską. naszą działalność wyróżnia głęboka pasja do rzemiosła artystycznego, która towarzy",71
30359,2420,firma zajmuje się produkcją przewodów rurowych do ciepłownictwa.,143
91400,2720,produkcja baterii i akumulatorów,192
22735,2899,produkcją systemów rolowania do nawijania olinowania ruchomego.,222
11025,3013,produkcją krążowników rakietowych.,229
47247,1623,firma zajmuje się produkcja podestów drewnianych,65
21965,1083,produkcja wyrobów kawowych dla gastronomii,18
83720,2553,"przemysł i usługi mechaniczne oraz inna działalność pozostająca z tym w naturalnym powiązaniu, w tym także udział w innych spółkach.",168
39452,1310,firma zajmuje się czesaniem włókien lnu wysokiej jakości,33
83476,1623,"planowanie projektów, produkcja i sprzedaż kratownic oraz działalność pokrewna.",65
5257,1729,"branża: opakowania | produkty: materiały samoprzylepne, farby | usługi: produkcja opakowań",79
92021,1089,"produkcja, handel i sprzedaż artykułów spożywczych.",22
41056,1621,firma zajmuje się fabrykacją utwardzonego drewna do podłóg,63
103290,2599,produkcja i sprzedaż wyrobów ze stali nierdzewnej i szkła.,179
75104,3316,firma zajmuje się naprawą uszkodzeń poszycia cywilnych statków powietrznych.,257
44880,2530,firma zajmuje się produkcją armat czołgowych.,163
9579,2060,produkcja sztucznych włókien ciętych niezgrzeblonych,101
12705,2016,"branża: tworzywa konstrukcyjne | produkty: tuleje, pręty, płyty z poliamidu pa6-g (odlew) | uslugi: produkcja specjalna | --- | branża: tworzywa konstrukcyjne | produkty: tuleje, pręty, płyty (do 100 mm średnicy i do 1200 mm wysokości) | uslugi: obróbka mechaniczna (tokery, frezarki, grubościówka, drążkarka, piłta taśmowa), produkcja detali na indywidualne zamówienia.",92
15061,1725,produkcja bibułki papierosowej bezzapachowej,78
6313,3100,"produkcją mebli (kościelnych, szkolnych, restauracyjnych).",238
58878,1812,firma zajmuje się drukowaniem zadrukowanych notesów firmowych,81
22228,2660,produkcją laserów do niszczenia tkanki.,187
3314,3230,produkcją bełtów do kusz.,247
797,1012,pakowaniem mięsa z kurczaka w opakowania próżniowe,1
16695,2391,produkcją ściernych materiałów do przemysłu.,140
58660,1811,firma zajmuje się drukiem prasy o wysokiej skali produkcyjnej,80
12156,1625,produkcja ram do okien energooszczędnych,67
28657,2364,firma zajmuje się produkcja suchego betonu do szybkich prac budowlanych,134
97524,3012,wykonywanie usług rzemieślniczych i doradczych w zakresie szkutnictwa i rzemiosła budowlanego.,228
96376,2219,"produkcja, dalszy rozwój i sprzedaż masy ciernej całkowicie pokrytej podkładem do mieszania z gumą oraz produkcja bieżników do opon samochodowych, a także udział w spółkach o działalności pokrewnej. obrót akcjami, walutami, odsetkami, surowcami i innymi p",106
102664,2562,"różne w zakresie napraw, spawania i innych prac konserwacyjnych.",170
81885,1330,"prowadzenie drukarni i wszystko co z tym związane, łącznie z udziałem w innych spółkach o podobnej działalności.",35
102949,1032,produkcja i sprzedaż napojów organicznych. spółka będzie mogła inwestować także w inne spółki.,5
57433,3011,firma zajmuje się instalowaniem wyposażenia technicznego wnętrz statków.,227
85099,3100,"produkcja, marketing i sprzedaż mebli i wyposażenia, wynajem pomieszczeń i wyposażenia. udział w innych spółkach.",238
40997,1625,firma zajmuje się fabrykacją ościeżnic regulowanych,67
28991,2365,firma zajmuje się produkcja rur azbestowo-cementowych do studzienek,135
84360,1628,produkcja wyrobów z drewna.,70
21228,2652,produkcją parkometrów elektronicznych.,186
54767,2640,firma zajmuje się produkcją telewizorów oled.,184
78806,1820,"nagrywanie płyt lp, mc, cd, taśm-matek, filmów wideo, dystrybucja, wynajem lub zakup studia, dystrybucja muzyki, biznes muzyczny, inwestycje w nieruchomości i inne rzeczy, które należą do firmy i przynoszą firmie dochód.",84
41618,2060,recyklingowym odzyskiem włókien pet,101
3171,1052,produkcja sorbetów egzotycznych mix,10
102120,3299,"sprzedaż i kupno kamienia, wynajem personelu i sprzętu oraz kupno i sprzedaż nieruchomości i to, co naturalnie do nich należy.",251
45389,2562,firma zajmuje się produkcją metalowych opraw do sprzętu sportowego.,170
81246,1813,"drobny offset i kopiowanie druków oraz handel, w tym udział w innych spółkach w celach gospodarczych.",82
582,2320,produkcja ogniotrwałych rur do przewodów kominowych,120
9923,1396,produkcja materiałów wzmacniających z włókna szklanego,41
83997,2226,"produkcja, handel i serwis elementów do łączenia systemów rurowych, zaworów, wejść do budynków, adaptacji i wyposażenia rurociągów do transportu i dystrybucji cieczy i gazu.",112
40382,1410,firma zajmuje się produkcja odzieży rowerowej dzianej,43
58633,1811,firma zajmuje się szybkim drukowaniem dzienników gospodarczych,80
33140,1089,firma zajmuje się dystrybucją świeżych tart i zapiekanek,22
15032,2229,"branża: internet i komputery | produkty: brak | usługi: brak | --- | branża: produkcja | produkty: brak | usługi: projektowanie, narzędziownia, tampodruk, zgrzewanie ultradźwiękowe, konfekcjonowanie, lakierowanie elementów, usługi na wtryskarkach",113
11686,2341,produkcja porcelanowych wyrobów jubileuszowych,123
14039,2363,produkcja betonu wysokiej wytrzymałości,133
87313,1812,"biuro@digitalpackaging.pl +48 42 231 32 12 dp oferta technologia jakość kontakt krótkie serie opakowań w produkcyjnie wysokiej jakości kolory pantone w druku cyfrowym ze zmiennymi danymi najnowszy park maszynowy obsługiwany przez wykwalifikowaną kadrę opakowania kolor maszyny digital packaging możliwości ponad technologię drukarnia digital packaging powstała, aby wypełnić lukę w niskonakładowym druku wysokojakościowym z kolorami specjalnymi (pantone) oraz realizacji krótkich serii opakowań, jak",81
48680,1712,firma zajmuje się produkcja papieru barwionego w masie dla poligrafii,73
67149,2224,firma zajmuje się produkcja elementów wnętrz toaletowych z plastiku,110
87886,1623,branża: budownictwo | produkty: płoty osłonowe | usługi: brak,65
105065,1629,mniejsze prace z drewna i materiałów na zamówienie.,71
89420,3250,projektowanie i produkcja sprzętu medycznego.,249
99260,1623,produkcja wyrobów z drewna takich jak drzwi i okna oraz sprzedaż usług z tym związanych.,65
86154,2553,kowal. rzemiosło i produkcja narzędzi ręcznie kutych. prowadzenie sklepu internetowego w celu sprzedaży sprzętu własnej produkcji.,168
89593,2553,cięcie profili metalowych i obróbka metali.,168
68447,2342,firma zajmuje się produkcja ceramicznych sedesów oszczędzających wodę,124
79748,1071,produkcja i sprzedaż ekologicznych wyrobów piekarniczo-cukierniczych i co z tym związane. spółka może także uczestniczyć w spółkach o podobnych celach.,13
12828,2224,produkcja zbiorników deszczowych z tworzyw sztucznych,110
14208,2363,produkcja betonu trwałego konstrukcyjnego,133
78005,2829,"rozwój, produkcja, sprzedaż i serwis systemów wentylacji i dezynfekcji.",210
100342,2562,"prace blacharskie i spawalnicze. wynajem (samochód, skuter śnieżny, quad, przyczepa, sprzęt, mieszkanie itp.). operacje warsztatowe. transport drogowy towarów.",170
91983,1085,produkcja i sprzedaż pizzy oraz produktów pokrewnych na wynos.,20
94093,3011,instalacja na statkach. zatrudnianie pracowników do stoczni.,227
15969,2370,produkcją nagrobków z motywami kwiatów,138
77765,2651,"produkcja elektroniki i obróbka mechaniczna, eksploatacja fabryk i handel, w tym instalacje techniczne i naprawy.",185
22673,1626,tworzeniem kłód z ścinków drewnianych,68
26030,2751,produkcją elektrycznych grzebieni i lokówek.,197
2727,1820,"branża: marketing | produkty: brak | usługi: prowadzenie własnej firmy w mediach społecznościowych, tworzenie treści dla mediów społecznościowych | --- | branża: marketing internetowy | produkty: brak | usługi: tworzenie stron internetowych, prowadzenie mediów społecznościowych",84
7561,2211,regeneracją ogumienia przemysłowego,104
29373,2370,firma zajmuje się produkcją kamiennych elementów do budowy basenów,138
75068,2830,firma zajmuje się produkcją kosiarek (do roślin energetycznych).,211
66795,2222,firma zajmuje się wytwarzaniem worków foliowych do pakowania żywności,108
99964,2572,"ślusarz. wszystko w zakresie zamków i zabezpieczeń, a także wszystko, co jest tutaj powiązane.",173
98335,3250,"produkcja indywidualnego sprzętu medycznego. protezy dentystyczne, implanty.",249
1502,1610,"branża: drewno | produkty: belki konstrukcyjne, drewno kominkowe (siatki, worki plastikowe, skrzynie) | usługi: przerób drewna dębowego",60
22073,1089,produkcja roślinnych substytutów serów naturalnych,22
78539,1071,napędzaj produkcję i sprzedaż ciastek francuskich i co się z tym wiąże.,13
88704,1628,"rozwój, produkcja i sprzedaż sprzętu treningowego do piłki nożnej i innej działalności gospodarczej.",70
49301,1724,firma zajmuje się produkcja tapet imitujących cegłę na bazie papieru,77
88416,1071,produkcja i sprzedaż wyrobów piekarniczo-cukierniczych i co z tym związane.,13
12619,1621,tworzeniem płyt wiórowych do mebli zewnętrznych,63
14459,2364,produkcja suchych zapraw do fugowania kostki brukowej,134
1995,1032,produkcja soków funkcjonalnych,5
43677,2443,firma zajmuje się produkcją blach grubych z cyny.,150
109499,1039,+dodaj ofertę moje nuzle 187 418 ofert w jednym miejscu ... ze wszystkich portali pracy w polsce jakiej pracy szukasz? kategoria wszystkie kategorie gdzie? szukaj praca w mieście białystok (3030) bydgoszcz (1962) gdańsk (7336) katowice (3766) kraków (8159) łódź (4050) lublin (1897) poznań (5223) rzeszów (1554) szczecin (2428) warszawa (25471) wrocław (7068) więcej ... praca wg kategorii praca w piekarni praca w zakładzie administracja biurowa (13765) badania i rozwój (7340) budownictwo (24633) d,6
91437,2511,"produkcja i sprzedaż izolowanych markiz wykonanych ze stali do przyczep kempingowych. (dawniej zwane namiotami gwoździowymi) nie używamy żadnych tekstyliów w postaci tkaniny. powinien raczej dotyczyć branży budowlanej, a nie tekstylnej, ponieważ jest to m",158
78326,3100,produkcja i sprzedaż mebli i instrumentów drewnianych.,238
5056,2540,przycinaniem kęsów metalowych.,164
16443,1042,produkcja margaryny z zastosowaniem procesów mieszania,8
56381,2842,firma zajmuje się produkcją podzielnic do obrabiarek.,213
86774,1624,"drewno.pl informacje ogłoszenia maszyny firmy forum sklep newsletter zaloguj leśnictwo przemysł dom i ogród sztuka edukacja tartacznictwo kppd: wysoka strata za 2025r. spółka ogranicza działalność autor: oprac. dja źródło: kppd data: 2026-02-10 zarząd koszalińskiego przedsiębiorstwa przemysłu drzewnego poinformował o wstępnych wynikach spółki za 2025r. rosnące koszty produkcji, które firma nie może zrekompensować wzrostem cen sprzedaży produktów, zmuszają ją do ograniczenia produkcji i wyprzedaż",66
18810,2620,produkcją drukarek igłowych.,182
27227,2343,produkcja ceramicznych elementów do sieci energetycznych przesyłowych,125
18062,2892,produkcją maszyn do obróbki minerałów poprzez przesiewanie.,216
101107,2829,praca mechaniczna. zatrudni mnie do innej firmy.,210
19832,2434,produkcją drutu ciągnionego na zimno ze stali ocynkowanej.,147
40099,1396,firma zajmuje się produkcja pomponów tekstylnych,41
31062,1020,firma zajmuje się pakowaniem mrożonych filetów dorsza,3
10404,2720,produkcją baterii do systemów rfid.,192
10575,3320,start - mip prace mechaniczne to nasza pasja ... o firmie oferta realizacje kontakt dotacje copyright 2017 davedesign.pl o firmie oferta realizacje kontakt dotacje o firmie oferta realizacje kontakt dotacje,261
91219,2226,"produkcja wyrobów z tworzyw sztucznych, komisja nagrobków i co z tym związane, w tym udział w innych firmach.",112
82984,1085,posiadanie i nabywanie udziałów i innych udziałów w innych spółkach i przedsiębiorstwach oraz wszelkie inne czynności z tym związane.,20
22362,2670,produkcją soczewek do powiększalników fotograficznych.,188
28165,2361,firma zajmuje się produkcja betonowych bloków mostowych,131
13234,1020,produkcja ryb panierowanych i konserwowanych,3
24913,2341,"branża: cermika artystyczna | produkty: cermika artystyczna, dekoracje ceramiczne | usługi: produkcja i sprzedaż wyrobów ceramicznych",123
40671,1429,firma zajmuje się produkcja odzieży sportowej tekstylnej,54
29768,2391,firma zajmuje się produkcją kamieni szlifierskich dla przemysłu optycznego.,140
9081,1391,produkcja dzianin futerkowych,36
74255,3240,firma zajmuje się produkcją zabawek edukacyjnych.,248
7657,1107,produkcja napojów gazowanych na zamówienie,31
25488,2511,produkcją konstrukcji wsporczych dla świateł drogowych.,158
86330,2015,"zarządzaj zgodą aby zapewnić jak najlepsze wrażenia, korzystamy z technologii, takich jak pliki cookie, do przechowywania i/lub uzyskiwania dostępu do informacji o urządzeniu. zgoda na te technologie pozwoli nam przetwarzać dane, takie jak zachowanie podczas przeglądania lub unikalne identyfikatory na tej stronie. brak wyrażenia zgody lub wycofanie zgody może niekorzystnie wpłynąć na niektóre cechy i funkcje. akceptuję zobacz preferencje polityka cookies polityka cookies skip to content autoryzo",91
67411,2225,firma zajmuje się metalizacją lamp samochodowych z plastiku,111
101276,1071,"domowa piekarnia, pieczywo i ciasta, kawiarnia, dania i catering. sprzedaż bezpośrednia w kasie.",13
59882,2060,firma zajmuje się produkcja syntetycznych włókien chemicznych z recyklingu,101
32540,1083,firma zajmuje się produkcja herbat smakowych,18
85147,2342,"produkcja umywalek z akrylu, a także produkcja poliestru wzmocnionego włóknem szklanym, zakupy, marketing i dystrybucja, a także własna produkcja umywalek z różnych materiałów do łazienek. rynek to hydraulicy, sklepy łazienkowe, sieci i producenci wyposaż",124
31988,1062,firma zajmuje się produkcja tapioki hurtową,12
84803,2651,"kupno, sprzedaż i naprawy przyrządów badawczych i maszyn analitycznych. konserwacja i sprzedaż hurtowa maszyn i urządzeń dla handlu i produkcji.",185
74074,3211,firma zajmuje się produkcją medali obiegowych.,243
92278,1394,"produkcja sieci rybackich, import towarów i eksport towarów i usług oraz innych produktów, które w sposób naturalny się z tym zbiegają, w tym uczestnictwo w innych spółkach o podobnej działalności, kupno i sprzedaż udziałów, kupno, sprzedaż i wynajem nier",39
81430,2363,"rozwijamy, wytwarzamy i sprzedajemy produkty oparte na betonie i technologii z niego wywodzącej się, a także działalność naturalnie z tym związaną. spółka może także uczestniczyć w innych spółkach o podobnej działalności.",133
47770,1624,firma zajmuje się fabrykacją drewnianych klatek transportowych,66
32666,1085,firma zajmuje się produkcja zestawów z ryżem i mięsem,20
30142,2399,firma zajmuje się wytwarzaniem produktów izolacyjnych z wermikulitu i iłów porowatych.,141
8178,1310,przygotowaniem nici do tkania,33
74839,3250,"firma zajmuje się produkcją strzykawek, igieł, cewników, kaniuli.",249
28574,2363,firma zajmuje się produkcja betonu przygotowanego w mobilnych wytwórniach,133
90142,1020,"hodowla ryb, przetwórstwo ryb i sprzedaż w sklepach rolniczych, a także wszystko, co z tym związane.",3
5646,2313,"branża: szkło | produkty: naczynia do zniczy ręcznie formowane | usługi: produkcja szkła zniczowego, ręcznie formowane szklanki na znicze",116
82360,2612,inwestycje w akcje i działalność z nimi związana.,181
6316,1414,branża: odzież | produkty: odzież (okrasa produkcja) | usługi: produkcja odzieży na zlecenie klientów zewnętrznych z całej polski oraz za granicą,47
12472,1013,produkcja mięsa królików – dostawa do punktów sprzedaży detalicznej,2
96418,1413,praca na różnych tekstyliach na rynek prywatny.,46
88988,1625,"prowadzić fabrykę stolarki budowlanej, w tym produkcyjno-handlową i wszystko z tym związane, a także interesować się innymi przedsiębiorstwami.",67
4013,1081,produkcja melasy dla przemysłu,16
59381,1920,firma zajmuje się odzyskiem gazów płynnych z ropy,86
49013,1722,firma zajmuje się produkcja zestawów naczyń papierowych na imprezy,75
90829,1020,produkty rybne - skup i sprzedaż,3
105242,2562,produkcja/sprzedaż ręcznie kutych narzędzi do jajek z hartowanej stali sprężynowej.,170
44964,2540,firma zajmuje się wytłaczaniem półproduktów.,164
104174,1071,biznes cukierniczy. produkcja ciast i wypieków.,13
9156,1392,produkcja bielizny kuchennej,37
9071,1812,"branża: handel detaliczny | produkty: brak informacji | usługi: brak informacji | --- | branża: motoryzacyjna | produkty: samochody osobowe, części samochodowe | usługi: naprawa samochodów | --- | branża: elektronika | produkty: brak | usługi: brak | --- | branża: papiernicze | produkty: notesy, pióra | usługi: brak",81
104744,1085,"działalność w zakresie nieruchomości, pizzeria, restauracja, produkcja żywności, import produktów spożywczych i pozostała działalność związana z prowadzeniem restauracji.",20
23948,1812,drukowaniem książek artystycznych na zamówienie,81
85463,3011,napędzaj rozwój i produkcję elementów wyposażenia statków i instalacji offshore.,227
9286,1089,"branża: mleczarska | produkty: mleko, śmietana, skoncentrowane produkty mleczne, smp, swp, koncentraty białe (wpc, wpa, wpi, wph), laktoza, preparaty serwatkowe, tłuszcz, sery. | usługi: brak informacji o usługach w opisie.",22
102734,1520,produkcja i sprzedaż wyrobów z tworzyw sztucznych oraz pozostała działalność pokrewna.,59
48900,1721,firma zajmuje się produkcja pudeł składanych reklamowych,74
44961,2540,firma zajmuje się produkcją zębatek metodą metalurgii proszków.,164
11811,2224,produkcja brodzików z tworzyw sztucznych na zewnątrz,110
68117,2341,firma zajmuje się produkcja porcelanowych zestawów świątecznych,123
67680,2320,firma zajmuje się produkcja systemów ceramicznych do instalacji hutniczych,120
59966,2060,firma zajmuje się wytwarzaniem włókien chemicznych o dużej sprężystości,101
18026,2612,produkcją zmontowanych elektronicznych płytek obwodów drukowanych.,181
108247,2451,"przejdź do treści odlewy z aluminium odlewy z brązu i mosiądzu odlewy z żeliwa obróbka mechaniczna o nas kontakt odlewnia żeliwa i metali nieżelaznych precyzja, powtarzalność i terminowość – od prototypu po gotowy detal. poznaj naszą ofertę co robimy zakres usług dopasowujemy do projektu: od przygotowania formy po obróbkę i kontrolę jakości. odlewy z aluminium odlewy z brązu i mosiądzu odlewy z żeliwa obróbka mechaniczna o orwo stawiamy na jakość, przewidywalność procesu i partnerską współpracę.",154
